id	period_month	period_year	division_code	gang_code	gang_description	total_employees	total_hk	total_hari_kerja	total_cuti_tahunan	total_cuti_sakit	total_cuti_minggu	total_cuti_nasional	total_upah_dasar	total_upah_pokok	total_gaji_pokok	total_beras	total_jabatan	total_masa_kerja	total_lembur	total_tunjangan	total_premi_brondol	total_premi_prunning	total_premi	total_potongan	total_pph21	total_bpjs_pekerja	total_bpjs_majikan	total_spsi	total_upah_kotor	total_upah_bersih	created_at	updated_at	source_endpoint	dynamic_premi_data	total_koreksi	informasi_tambahan	total_ffb_weight	total_weight_tbs
1287	11	2025	P1B	B1H	HARVESTING GUNUNG RUM	22	623	486	15	15	107	0	2842840.00	62800920.00	80504060.00	2688650.00	0.00	488500.00	0.00	3317650.00	6510000.00	0.00	19825110.00	3543372.00	28424.00	1715474.00	5146422.00	84000.00	94233588.00	90690216.00	2026-01-05 15:58:01.897	2026-01-05 15:58:01.897	raw-tree	[{"header": "BRONDOL", "total": 6510000.0}, {"header": "KINERJA", "total": 2686000.0}, {"header": "KOREKSI", "total": 4706616.0}, {"header": "TBS", "total": 5922494.0}]	4706616.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 4706616.0}	242.050	NULL
1288	11	2025	P1B	B1M	MAINTENANCE GUNUNG RUM	60	1734	1291	19	124	300	0	7753200.00	166823020.00	224067480.00	5857650.00	0.00	2395000.00	470568.00	8887718.00	0.00	0.00	0.00	9639640.00	0.00	4699820.00	14099460.00	240000.00	232955198.00	223315558.00	2026-01-05 15:58:02.107	2026-01-05 15:58:02.107	raw-tree	[]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	242.050	NULL
1289	11	2025	P1B	B1P	PERCOBAAN GUNUNG RUM	5	0	0	0	0	0	0	516880.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	620256.00	0.00	310128.00	930384.00	0.00	0.00	-620256.00	2026-01-05 15:58:02.273	2026-01-05 15:58:02.273	raw-tree	[]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	242.050	NULL
1290	11	2025	P1B	B1T	TRANSPORT GUNUNG RUM	6	178	143	5	0	30	0	775320.00	18478460.00	23001160.00	893750.00	0.00	396000.00	5053004.00	6769254.00	0.00	0.00	2395080.00	1031420.00	61196.00	473112.00	1419336.00	24000.00	32165494.00	31134074.00	2026-01-05 15:58:02.407	2026-01-05 15:58:02.407	raw-tree	[{"header": "ANGKUT", "total": 2395080.0}]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	242.050	NULL
1291	11	2025	P1B	B3M	MAINTENANCE PADANG TEMBALUN	72	2116	1554	45	157	360	0	9303840.00	200807880.00	273429520.00	6774200.00	0.00	2963000.00	4235128.00	14123328.00	0.00	0.00	0.00	11658604.00	95476.00	5641564.00	16924692.00	280000.00	287552848.00	275894244.00	2026-01-05 15:58:02.577	2026-01-05 15:58:02.577	raw-tree	[]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	242.050	NULL
1292	11	2025	P1B	B3P	PERCOBAAN PADANG TEMBALUN	14	227	189	0	0	38	0	1679860.00	24422580.00	29332940.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2015832.00	0.00	1007916.00	3023748.00	0.00	29332940.00	27317108.00	2026-01-05 15:58:02.720	2026-01-05 15:58:02.720	raw-tree	[]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	242.050	NULL
1293	11	2025	P1B	B3T	TRANSPORT PADANG TEMBALUN	5	150	120	5	0	25	0	646100.00	15506400.00	19383000.00	607500.00	0.00	250500.00	7036112.00	8267112.00	0.00	0.00	1958775.00	895892.00	90552.00	392670.00	1178010.00	20000.00	29608887.00	28712995.00	2026-01-05 15:58:02.897	2026-01-05 15:58:02.897	raw-tree	[{"header": "ANGKUT", "total": 1958775.0}]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	242.050	NULL
1294	11	2025	P2A	C1H	HARVESTING AIR JANGKAT	20	593	469	18	6	100	0	2584400.00	60604180.00	76627460.00	2452650.00	0.00	193500.00	0.00	2786650.00	6986000.00	6875350.00	18190182.00	3287236.00	142216.00	1554510.00	4663530.00	36000.00	103365924.00	100078688.00	2026-01-05 15:58:10.417	2026-01-05 15:58:10.417	raw-tree	[{"header": "BRONDOL", "total": 6986000.0}, {"header": "INSENTIF_PANEN", "total": 1021127.0}, {"header": "KINERJA", "total": 3456000.0}, {"header": "KOREKSI", "total": 556859.0}, {"header": "TBS", "total": 6170196.0}]	556859.00	{"premi_prunning": 6875350.0, "premi_insentif_panen": 0.0, "koreksi": 556859.0}	1484.490	NULL
1295	11	2025	P2A	C1M	MAINTENANCE AIR JANGKAT	29	827	647	20	20	140	0	3618160.00	83605340.00	106864940.00	3283050.00	0.00	1051500.00	4672076.00	9151626.00	0.00	0.00	250000.00	4574179.00	90327.00	2191926.00	6575778.00	100000.00	116266566.00	111692387.00	2026-01-05 15:58:10.567	2026-01-05 15:58:10.567	raw-tree	[{"header": "JAGA_GENSET", "total": 250000.0}]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	1484.490	NULL
1296	11	2025	P2A	C1P	PERAWATAN PERCOBAAN AIR JANGKAT	1	30	25	0	0	5	0	129220.00	3230500.00	3876600.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	155064.00	0.00	77532.00	232596.00	0.00	3876600.00	3721536.00	2026-01-05 15:58:10.700	2026-01-05 15:58:10.700	raw-tree	[]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	1484.490	NULL
1297	11	2025	P2A	C1T	TRANSPORT AIR JANGKAT	4	120	94	6	0	20	0	516880.00	12146680.00	15506400.00	558000.00	0.00	307000.00	5534776.00	6680776.00	0.00	0.00	5072284.00	841645.00	193109.00	316268.00	948804.00	16000.00	27259460.00	26417815.00	2026-01-05 15:58:10.850	2026-01-05 15:58:10.850	raw-tree	[{"header": "ANGKUT", "total": 5072284.0}]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	1484.490	NULL
1298	11	2025	P2A	C2H	HARVESTING AIR BETANGAN	31	914	719	36	4	155	0	4005820.00	92909180.00	118107080.00	4253200.00	0.00	423500.00	739464.00	5613164.00	7882000.00	39350850.00	17074599.00	5226585.00	282661.00	2411962.00	7235886.00	120000.00	175126159.00	169899574.00	2026-01-05 15:58:11.103	2026-01-05 15:58:11.103	raw-tree	[{"header": "BRONDOL", "total": 7882000.0}, {"header": "INSENTIF_PANEN", "total": 415000.0}, {"header": "KINERJA", "total": 3408000.0}, {"header": "KOREKSI", "total": 2509767.0}, {"header": "TBS", "total": 2859832.0}]	2509767.00	{"premi_prunning": 39350850.0, "premi_insentif_panen": 0.0, "koreksi": 2509767.0}	1484.490	NULL
1299	11	2025	P2A	C2M	MAINTENANCE AIR BETANGAN	22	623	473	14	31	105	0	2842840.00	61121060.00	80504060.00	1945950.00	0.00	1078000.00	1646994.00	4733444.00	0.00	0.00	0.00	3563828.00	29300.00	1727264.00	5181792.00	80000.00	85237504.00	81673676.00	2026-01-05 15:58:11.257	2026-01-05 15:58:11.257	raw-tree	[]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	1484.490	NULL
1300	11	2025	P2A	C2T	TRANSPORT AIR BETANGAN	6	180	141	9	0	30	0	775320.00	18220020.00	23259600.00	780000.00	0.00	252500.00	6106181.00	7563181.00	0.00	0.00	8110040.00	1236592.00	272108.00	470242.00	1410726.00	24000.00	38932821.00	37696229.00	2026-01-05 15:58:11.393	2026-01-05 15:58:11.393	raw-tree	[{"header": "ANGKUT", "total": 8110040.0}]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	1484.490	NULL
1301	11	2025	P2A	C3H	HARVESTING AIR PAPAN	32	883	704	21	8	150	0	4135040.00	90970880.00	114101260.00	4116500.00	0.00	511500.00	0.00	4825500.00	12659500.00	6342750.00	26123190.00	5125438.00	42930.00	2491254.00	7473762.00	100000.00	146694838.00	141569400.00	2026-01-05 15:58:11.563	2026-01-05 15:58:11.563	raw-tree	[{"header": "BRONDOL", "total": 12659500.0}, {"header": "INSENTIF_PANEN", "total": 900000.0}, {"header": "KINERJA", "total": 3649000.0}, {"header": "KOREKSI", "total": 2348931.0}, {"header": "PUPUK", "total": 2830500.0}, {"header": "TBS", "total": 3735259.0}]	2348931.00	{"premi_prunning": 6342750.0, "premi_insentif_panen": 0.0, "koreksi": 2348931.0}	1484.490	NULL
1302	11	2025	P2A	C3M	MAINTENANCE AIR PAPAN	27	767	585	14	38	130	0	3359720.00	75593700.00	99111740.00	2776350.00	0.00	1101000.00	0.00	3954350.00	0.00	0.00	0.00	4179704.00	0.00	2037852.00	6113556.00	104000.00	103066090.00	98886386.00	2026-01-05 15:58:11.713	2026-01-05 15:58:11.713	raw-tree	[]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	1484.490	NULL
1303	11	2025	P2A	C3P	HARVESTING PERCOBAAN AIR PAPAN	2	56	46	0	0	10	0	258440.00	5944120.00	7236320.00	0.00	0.00	0.00	0.00	0.00	393750.00	0.00	482517.00	310128.00	0.00	155064.00	465192.00	0.00	7718837.00	7408709.00	2026-01-05 15:58:11.867	2026-01-05 15:58:11.867	raw-tree	[{"header": "BRONDOL", "total": 393750.0}, {"header": "TBS", "total": 88767.0}]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	1484.490	NULL
1304	11	2025	P2A	C3T	TRANSPORT AIR PAPAN	6	176	135	9	2	30	0	775320.00	17444700.00	22742720.00	810300.00	0.00	341500.00	6924072.00	8480372.00	0.00	0.00	9856800.00	1293863.00	325819.00	472022.00	1416066.00	24000.00	41079892.00	39786029.00	2026-01-05 15:58:11.963	2026-01-05 15:58:11.963	raw-tree	[{"header": "ANGKUT", "total": 9856800.0}]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	1484.490	NULL
1305	11	2025	P2B	D1H	HARVESTING AIR KUNYAL	27	794	628	21	10	135	0	3488940.00	81150160.00	102600680.00	3474350.00	0.00	554000.00	773076.00	4997926.00	11320750.00	0.00	19150799.00	5182214.00	98556.00	2104444.00	6313332.00	108000.00	126246949.00	121064735.00	2026-01-05 15:58:19.100	2026-01-05 15:58:19.100	raw-tree	[{"header": "ANGKUT", "total": 576510.0}, {"header": "BRONDOL", "total": 11320750.0}, {"header": "INSENTIF_PANEN", "total": 450000.0}, {"header": "KINERJA", "total": 2216000.0}, {"header": "KOREKSI", "total": 634613.0}, {"header": "TBS", "total": 3952926.0}, {"header": "TIKET", "total": 766770.0}]	634613.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 634613.0}	1436.480	NULL
1306	11	2025	P2B	D1M	MAINTENANCE AIR KUNYAL	22	659	517	15	17	110	0	2860286.67	67225460.08	85679380.10	2085800.00	0.00	1083500.00	3641310.00	6947610.00	0.00	0.00	618980.00	3635567.00	75883.00	1737842.00	5213526.00	84000.00	93245970.10	89610403.10	2026-01-05 15:58:19.250	2026-01-05 15:58:19.250	raw-tree	[{"header": "ANGKUT", "total": 618980.0}]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	1436.480	NULL
1307	11	2025	P2B	D1T	TRANSPORT AIK KUNYAL	5	147	111	4	7	25	0	646100.00	14343420.00	18995340.00	692550.00	0.00	273500.00	5265880.00	6548430.00	0.00	0.00	5914082.00	1056892.00	250632.00	393130.00	1179390.00	20000.00	31457852.00	30400960.00	2026-01-05 15:58:19.347	2026-01-05 15:58:19.347	raw-tree	[{"header": "ANGKUT", "total": 5914082.0}]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	1436.480	NULL
1308	11	2025	P2B	D2H	HARVESTING AIR LIMPAS	36	1070	868	18	4	180	0	4651920.00	112162960.00	138265400.00	4179300.00	0.00	1087000.00	1456520.00	6925320.00	17832500.00	0.00	43880026.00	6157120.00	387336.00	2812892.00	8438676.00	144000.00	183209902.00	177052782.00	2026-01-05 15:58:19.480	2026-01-05 15:58:19.480	raw-tree	[{"header": "ANGKUT", "total": 4767600.0}, {"header": "BRONDOL", "total": 17832500.0}, {"header": "INSENTIF_PANEN", "total": 2957200.0}, {"header": "JAGA_GENSET", "total": 250000.0}, {"header": "KINERJA", "total": 4355000.0}, {"header": "KOREKSI", "total": 2930422.0}, {"header": "TBS", "total": 10787304.0}]	2930422.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 2930422.0}	1436.480	NULL
1309	11	2025	P2B	D2M	MAINTENANCE AIR LIMPAS	23	619	474	11	29	105	0	2956286.66	61250280.00	79987180.00	1806400.00	0.00	1132500.00	470568.00	3472468.00	0.00	0.00	0.00	3676844.00	0.00	1796422.00	5389266.00	84000.00	83459648.00	79782804.00	2026-01-05 15:58:19.590	2026-01-05 15:58:19.590	raw-tree	[]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	1436.480	NULL
1310	11	2025	P2B	D2T	TRANSPORT AIK LIMPAS	8	235	182	11	2	40	0	1033760.00	23518040.00	30366700.00	1057100.00	0.00	331000.00	7170560.00	9105660.00	0.00	0.00	15131431.00	1718377.00	432625.00	626876.00	1880628.00	32000.00	54603791.00	52885414.00	2026-01-05 15:58:19.733	2026-01-05 15:58:19.733	raw-tree	[{"header": "ANGKUT", "total": 15131431.0}]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	1436.480	NULL
1311	11	2025	P2B	K2H	HARVESTING PLASMA CENDIL	7	178	138	9	1	30	0	884149.47	17832360.00	23001160.00	796500.00	0.00	189500.00	0.00	1066500.00	684250.00	0.00	684250.00	1092559.36	0.00	534279.68	1602839.04	24000.00	24751910.00	23659350.64	2026-01-05 15:58:19.860	2026-01-05 15:58:19.860	raw-tree	[{"header": "BRONDOL", "total": 684250.0}]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	1436.480	NULL
1312	11	2025	DME	E1H	HARVESTING AIK CENDONG	26	760	592	24	14	130	0	3359720.00	76498240.00	98207200.00	3027450.00	0.00	557500.00	0.00	3779450.00	22837500.00	0.00	44992351.00	7173979.00	394230.00	2026982.00	6080946.00	104000.00	145331035.00	138157056.00	2026-01-05 15:58:26.720	2026-01-05 15:58:26.720	raw-tree	[{"header": "BRONDOL", "total": 22837500.0}, {"header": "INSENTIF_PANEN", "total": 5250000.0}, {"header": "KINERJA", "total": 7075000.0}, {"header": "KONTANAN", "total": 1571829.0}, {"header": "KOREKSI", "total": 1348961.0}, {"header": "TBS", "total": 6909061.0}, {"header": "TIKET", "total": 1049956.0}]	1348961.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 1348961.0}	2590.840	NULL
1313	11	2025	DME	E1M	MAINTENANCE  AIK CENDONG	35	862	644	38	35	145	0	4485067.29	83374112.00	111583180.00	2874000.00	0.00	1563000.00	2464883.00	7022383.00	0.00	0.00	0.00	5593543.76	32943.00	2722300.38	8166901.14	116000.00	118605563.00	113012019.24	2026-01-05 15:58:26.843	2026-01-05 15:58:26.843	raw-tree	[]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	2590.840	NULL
1314	11	2025	DME	E1P	PERCOBAAN AIK CENDONG	3	71	59	0	0	12	0	387660.00	7623980.00	9174620.00	0.00	0.00	0.00	0.00	0.00	3395000.00	0.00	3395000.00	525590.00	48398.00	232596.00	697788.00	12000.00	12569620.00	12044030.00	2026-01-05 15:58:26.987	2026-01-05 15:58:26.987	raw-tree	[{"header": "BRONDOL", "total": 3395000.0}]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	2590.840	NULL
1315	11	2025	DME	E1T	TRANSPORT  AIK CENDONG	6	150	119	6	0	25	0	775320.00	15377180.00	19383000.00	627000.00	0.00	98000.00	5758856.00	6829356.00	0.00	0.00	7070583.00	1238267.00	283963.00	467152.00	1401456.00	20000.00	33282939.00	32044672.00	2026-01-05 15:58:27.107	2026-01-05 15:58:27.107	raw-tree	[{"header": "ANGKUT", "total": 7070583.0}]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	2590.840	NULL
1316	11	2025	DME	E2H	HARVESTING AIK RAYA	50	819	637	22	20	140	0	6308057.17	82313140.00	105831180.00	3755900.00	0.00	516500.00	0.00	4467900.00	16681000.00	6323350.00	44470259.00	8413740.64	711412.00	3795164.32	11385492.96	112000.00	159270733.00	150856992.36	2026-01-05 15:58:27.240	2026-01-05 15:58:27.240	raw-tree	[{"header": "BRONDOL", "total": 16681000.0}, {"header": "INSENTIF_PANEN", "total": 6750000.0}, {"header": "KINERJA", "total": 7975000.0}, {"header": "KOREKSI", "total": 910978.0}, {"header": "TBS", "total": 12153281.0}]	910978.00	{"premi_prunning": 6323350.0, "premi_insentif_panen": 0.0, "koreksi": 910978.0}	2590.840	NULL
1317	11	2025	DME	E2M	MAINTENANCE AIK RAYA	24	716	552	19	25	120	0	3101280.00	71329440.00	92521520.00	2087000.00	0.00	1128500.00	1703008.00	4999008.00	0.00	0.00	0.00	3862676.00	0.00	1883338.00	5650014.00	96000.00	97520528.00	93657852.00	2026-01-05 15:58:27.337	2026-01-05 15:58:27.337	raw-tree	[]	0.00	{"premi_prunning": 0.0, "premi_insentif_panen": 0.0, "koreksi": 0}	2590.840	NULL
