source_file,sheet_name,sheet_type,is_current_2026_candidate_sheet,max_row,max_column,employee_ptkp_rows,header_row,name_col,nik_col,ptkp_col,ter_col
PAJAK NURSERY 2026.xlsx,JAN'26,employee_ptkp,YES,45,19,16,5,C,D,I,J
PAJAK NURSERY 2026.xlsx,Sheet2,other,YES,1,1,0,,,,,
PAJAK NURSERY 2026.xlsx,Sheet3,other,YES,1,1,0,,,,,
PERHITIUNGAN PPH 21 2026 PGE 1A.xlsx,TARIF,ptkp_reference_or_partial,YES,61,25,0,,,,,
PERHITIUNGAN PPH 21 2026 PGE 1A.xlsx,AIR HIJAU,employee_ptkp,YES,92,27,62,5,C,D,I,J
PERHITIUNGAN PPH 21 2026 PGE 1A.xlsx,AIR BATU,employee_ptkp,YES,86,23,58,5,C,D,I,J
PERHITIUNGAN PPH 21 2026 PGE 1A.xlsx,AIR KUNDO,employee_ptkp,YES,102,13,70,5,C,D,I,J
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet11,other,YES,109,45,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,REKON GAJI (2),other,YES,96,29,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,CEKROL PANEN AIK KUNYAL,other,YES,2937,16166,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,PRODUKTIFITAS,other,YES,41,66,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,PREMI DAN KOREKSI,other,YES,50,19,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,INSENTIF PANEN,other,YES,40,21,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,PEMBAYARAN PRUNNING,other,YES,44,27,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,CEKROLL MAINT,other,YES,234,51,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,PREMI OPERATOR,other,YES,48,50,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,KONTANAN,other,YES,10,7,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,PREMI TON (2),other,YES,114,8,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,PREMI PUPUK,other,YES,32,35,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,dist OPT AIK KUNYAL,other,YES,34,52,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,SLIP GAJI OPERATOR A KUNYAL,other,YES,144,61,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,PPh21,other,YES,265,200,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,DIST MAINT,other,YES,185,53,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,MAINT.A KUNYAL (BHL),other,YES,254,66,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,DIST MAINT (BHL),other,YES,114,53,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,CEKROL PANEN AIK KUNYAL (BHL),other,YES,2785,55,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,CEKROL PANEN AIK KUNYAL (4),other,YES,2706,16176,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet23,other,YES,21,16,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,DIST HARVESTING  AIK KUNYAL,other,YES,47,54,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,HARVESTING A.KUNYAL (BHL),other,YES,46,74,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,DIST HARVESTING A KUNYAL ( BHL),other,YES,40,52,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,SLIP,other,YES,67,36,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Slip2,other,YES,101,34,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,slip3,other,YES,67,34,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet1,other,YES,47,6,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,MAINTENANCE 3,other,YES,98,42,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,HARVESTING A.KUNYAL (PERCOBAAN),other,YES,169,66,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,HARVESTING  KUNYAL PERCOBAAN,other,YES,90,16384,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,CEKROLL MAINT (2),other,YES,206,49,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,CEKROL PLASMA,other,YES,91,48,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,PRUNING PLASMA,other,YES,56,20,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,PERAWATAN  PERCOBAAN AIK LIMPAS,other,YES,62,63,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,HARVESTING AIK LIMPAS PERCO (2,other,YES,84,64,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,PEMBAYARAN PRUNNING plasma,other,YES,27,20,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,AIR KUNYAL,employee_ptkp,YES,93,16,60,5,C,D,I,J
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet25 (2),other,NO,16,6,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,REKON GAJI,other,YES,92,29,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,REKENING BRI (7),other,YES,162,16,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,REKON,other,YES,40,18,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,FORM REKAP OT,other,YES,37,11,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet5,other,YES,7,2,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet6,other,YES,156,6,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet3,other,YES,49,14,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,BERAS,other,YES,168,11,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet2,other,YES,92,8,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet4,other,YES,9,6,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,REKENING BRI (2),other,YES,180,12,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet7,other,YES,20,7,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet8,other,YES,1,1,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet9,other,YES,4,2,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet10,other,YES,9,13,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,TIKET,other,YES,16,9,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,REKENING BRI (3),other,YES,81,12,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,REKENING BRI (4),other,YES,164,12,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet12,other,YES,1,1,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet13,other,YES,19,15,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet14,other,YES,21,8,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet15,other,YES,6,12,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,REKENING BRI (5),other,YES,166,16,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet16,other,YES,8,2,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,REKENING BRI (6),other,YES,168,15,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,TENAGA KERJA,other,YES,21,21,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet19,other,YES,50,6,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,REKENING BRI (8),other,YES,90,13,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,TIKET (2),other,YES,31,8,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,REKENING BRI (9),other,YES,161,16,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet18,other,YES,16,2,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,CEKROL PANEN AIK KUNYAL (5),other,YES,3066,16174,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet21,other,YES,29,36,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,Sheet24,other,NO,8,7,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,CEKROL PANEN AIK KUNYAL (2),other,YES,2681,47,0,,,,,
PERHITUNGAN PPH 21  2026 PGE 2B.xlsx,CEKROL PANEN AIK KUNYAL (3),other,YES,2609,37,0,,,,,
