emp_code,expected_ptkp,status,history_values
"A0027","K/0","VERIFIED","[{""ptkp_pajak"":""K/0"",""cnt"":8}]"
"A0033","K/3","VERIFIED","[{""ptkp_pajak"":""K/3"",""cnt"":8}]"
"A0094","TK/0","VERIFIED","[{""ptkp_pajak"":""TK/0"",""cnt"":8}]"
"A0191","K/1","VERIFIED","[{""ptkp_pajak"":""K/1"",""cnt"":8}]"
"A0192","K/1","VERIFIED","[{""ptkp_pajak"":""K/1"",""cnt"":8}]"
"A0231","K/0","VERIFIED","[{""ptkp_pajak"":""K/0"",""cnt"":8}]"
"A0234","K/0","VERIFIED","[{""ptkp_pajak"":""K/0"",""cnt"":8}]"
"A0262","K/0","VERIFIED","[{""ptkp_pajak"":""K/0"",""cnt"":8}]"
"A0360","K/1","VERIFIED","[{""ptkp_pajak"":""K/1"",""cnt"":8}]"
"A0533","K/2","VERIFIED","[{""ptkp_pajak"":""K/2"",""cnt"":13}]"
"A0712","K/0","VERIFIED","[{""ptkp_pajak"":""K/0"",""cnt"":8}]"
"A0749","K/1","VERIFIED","[{""ptkp_pajak"":""K/1"",""cnt"":28}]"
"A0778","K/0","VERIFIED","[{""ptkp_pajak"":""K/0"",""cnt"":8}]"
"A0802","K/0","VERIFIED","[{""ptkp_pajak"":""K/0"",""cnt"":13}]"
"A0812","K/3","VERIFIED","[{""ptkp_pajak"":""K/3"",""cnt"":13}]"
"A0867","K/0","VERIFIED","[{""ptkp_pajak"":""K/0"",""cnt"":12}]"
"A0884","K/3","VERIFIED","[{""ptkp_pajak"":""K/3"",""cnt"":9}]"
"A0896","K/1","VERIFIED","[{""ptkp_pajak"":""K/1"",""cnt"":13}]"
"A0913","K/0","VERIFIED","[{""ptkp_pajak"":""K/0"",""cnt"":13}]"
"A0923","K/3","VERIFIED","[{""ptkp_pajak"":""K/3"",""cnt"":13}]"
"A0926","K/3","VERIFIED","[{""ptkp_pajak"":""K/3"",""cnt"":10}]"
"A0936","TK/0","VERIFIED","[{""ptkp_pajak"":""TK/0"",""cnt"":10}]"
